Date,Time,Open,High,Low,Close,Volume
2024.01.30,9:30,17572.63,17580.75,17568,17579.13,1010
2024.01.30,10:00,17576.63,17590.38,17555.25,17590.38,1514
2024.01.30,10:30,17594,17609,17591.75,17605.75,1296
2024.01.30,11:00,17605.25,17609.38,17580.38,17582.25,1287
2024.01.30,11:30,17578.38,17585.5,17573.13,17580.25,1074
2024.01.30,12:00,17579.75,17600.5,17576.88,17595.75,1047
2024.01.30,12:30,17595.5,17600.5,17584.5,17587,923
2024.01.30,13:00,17587.63,17587.63,17571.5,17584.38,1040
2024.01.30,13:30,17584.5,17591.38,17579,17587.5,945
2024.01.30,14:00,17588.25,17591,17574.5,17580.63,989
2024.01.30,14:30,17580.5,17581.13,17565.88,17568.75,1012
2024.01.30,15:00,17569.5,17572.5,17542,17555.38,1369
2024.01.30,15:30,17555.75,17560.75,17541.38,17549.25,1217
2024.01.30,16:00,17549.63,17558.25,17533.75,17549.63,1380
2024.01.30,16:30,17549.38,17574.5,17543,17560.12,9163
2024.01.30,17:00,17561.49,17561.86,17508.21,17547.27,11099
2024.01.30,17:30,17546.9,17559.45,17509.55,17530.46,6516
2024.01.30,18:00,17530.83,17542.8,17516.64,17534.58,5042
2024.01.30,18:30,17534.96,17546.67,17523.1,17532.07,3483
2024.01.30,19:00,17532.56,17539.43,17476.27,17479.24,4343
2024.01.30,19:30,17478.87,17483.88,17455.19,17465.48,4433
2024.01.30,20:00,17464.61,17488.13,17446.87,17487.02,3580
2024.01.30,20:30,17486.9,17491.86,17453.34,17461.59,3133
2024.01.30,21:00,17461.97,17477.32,17439.55,17474.34,3673
2024.01.30,21:30,17474.71,17491.82,17472.73,17480.84,3023
2024.01.30,22:00,17481.33,17498.72,17467.35,17489.57,3415
2024.01.30,22:30,17489.7,17493.05,17467.8,17474.11,3827
2024.01.30,23:00,17473.48,17496.19,17412.21,17424.92,4250
2024.01.30,23:30,17424.79,17431.89,17361.85,17365.22,1701
2024.01.31,1:00,17317.01,17353.38,17302.37,17325.26,1571
2024.01.31,1:30,17326.13,17348,17324.64,17340.09,1012
2024.01.31,2:00,17341.08,17352.26,17340.33,17346.72,1089
2024.01.31,2:30,17346.47,17348.83,17335.46,17338.35,802
2024.01.31,3:00,17338.47,17344.22,17332.58,17333.57,769
2024.01.31,3:30,17333.82,17334.81,17321.59,17324.95,888
2024.01.31,4:00,17324.7,17327.56,17316.66,17323.77,865
2024.01.31,4:30,17323.65,17333.84,17323.52,17331.77,746
2024.01.31,5:00,17331.9,17338.52,17331.09,17331.83,682
2024.01.31,5:30,17331.71,17333.86,17325.28,17330.41,569
2024.01.31,6:00,17330.65,17339.12,17329.91,17334.93,548
2024.01.31,6:30,17335.43,17343.92,17333.34,17341.94,547
2024.01.31,7:00,17341.32,17346.09,17338.75,17342.13,656
2024.01.31,7:30,17341.88,17346.54,17332.57,17333.08,703
2024.01.31,8:00,17333.2,17344.59,17331.96,17339.13,781
2024.01.31,8:30,17339.38,17341.87,17322.88,17324.25,845
2024.01.31,9:00,17324.5,17354.75,17320.75,17353.63,991
2024.01.31,9:30,17353.75,17358.75,17345.25,17349,1022
2024.01.31,10:00,17348.38,17361.25,17345.88,17351.25,1166
2024.01.31,10:30,17350.63,17355,17334.63,17339.5,1070
2024.01.31,11:00,17340.13,17341.75,17247.75,17255.75,1782
2024.01.31,11:30,17256.63,17279.25,17236.5,17272.75,1426
2024.01.31,12:00,17272.13,17276,17256.25,17269.25,1217
2024.01.31,12:30,17268.63,17274.5,17249.25,17250,1133
2024.01.31,13:00,17250.75,17277.63,17226.75,17274.25,1253
2024.01.31,13:30,17274,17289.25,17267.25,17286.5,1119
2024.01.31,14:00,17287,17301.75,17279.25,17291.25,1300
2024.01.31,14:30,17291.5,17323.88,17277.5,17321.25,1480
2024.01.31,15:00,17321.75,17337.13,17312.25,17319.63,1891
2024.01.31,15:30,17320,17346.88,17293.88,17299.25,2901
2024.01.31,16:00,17300,17300.63,17271.25,17292.38,1975
2024.01.31,16:30,17293.75,17320.25,17241.5,17263.5,18698
2024.01.31,17:00,17263.88,17277.5,17214.17,17219.4,10874
2024.01.31,17:30,17219.77,17228.21,17179.8,17197.42,8422
2024.01.31,18:00,17197.04,17246.3,17196.42,17232.58,5745
2024.01.31,18:30,17232.94,17246.07,17215.55,17235.09,5956
2024.01.31,19:00,17235.58,17264.19,17232.84,17252.8,4038
2024.01.31,19:30,17252.43,17266.41,17229.18,17265.62,4139
2024.01.31,20:00,17265.13,17297.93,17260.62,17271.47,4097
2024.01.31,20:30,17271.84,17289,17264.06,17278.99,3503
2024.01.31,21:00,17279.61,17295.49,17206.39,17227.19,19511
2024.01.31,21:30,17227.68,17377.42,17212.68,17274.2,31618
2024.01.31,22:00,17274.58,17280.41,17140.58,17193.65,31655
2024.01.31,22:30,17194.02,17198.6,17126.93,17132.51,11995
2024.01.31,23:00,17132.14,17166.8,17116.26,17150.82,2138
2024.01.31,23:30,17150.58,17162.42,17143.03,17161.68,1120
2024.02.01,1:00,17172.98,17186.05,17162.94,17183.34,1096
2024.02.01,1:30,17183.96,17184.96,17177.57,17178.57,678
2024.02.01,2:00,17178.19,17200.67,17176.72,17200.05,970
2024.02.01,2:30,17200.67,17211.74,17197.75,17199.86,1033
2024.02.01,3:00,17199.99,17206.82,17188.49,17191.49,1018
2024.02.01,3:30,17192.23,17204.82,17186.28,17201.23,1115
2024.02.01,4:00,17201.1,17214.66,17196.77,17213.57,1013
2024.02.01,4:30,17213.2,17219.68,17211.26,17217.13,703
2024.02.01,5:00,17217.25,17223,17211.88,17215.5,682
2024.02.01,5:30,17215,17215.88,17189.13,17213.13,845
2024.02.01,6:00,17212.88,17227.38,17212.25,17224,625
2024.02.01,6:30,17223.38,17226,17216.75,17219.63,620
2024.02.01,7:00,17219.5,17220.25,17209.5,17210.88,797
2024.02.01,7:30,17211,17214,17199.62,17200.24,858
2024.02.01,8:00,17201.12,17208.62,17187.99,17189.74,879
2024.02.01,8:30,17189.12,17201.62,17170.12,17173.87,1022
2024.02.01,9:00,17174.12,17189.87,17165.87,17186.62,1307
2024.02.01,9:30,17186.37,17222.49,17181.62,17218.12,1207
2024.02.01,10:00,17218.74,17254.12,17216.12,17252.37,1833
2024.02.01,10:30,17251.62,17255.99,17229.37,17253.87,1489
2024.02.01,11:00,17252.24,17258.49,17227.37,17236.62,1500
2024.02.01,11:30,17237.37,17245.99,17224.74,17234.12,1276
2024.02.01,12:00,17233.99,17251.62,17229.12,17247.12,1104
2024.02.01,12:30,17247.87,17256.62,17243.24,17255.87,944
2024.02.01,13:00,17255.62,17260.49,17234.99,17240.24,1134
2024.02.01,13:30,17239.99,17244.24,17228.49,17240.37,1090
2024.02.01,14:00,17240.62,17256.74,17232.12,17247.87,1252
2024.02.01,14:30,17248.12,17266.24,17246.37,17249.12,1135
2024.02.01,15:00,17248.37,17249.62,17204.99,17228.99,1628
2024.02.01,15:30,17229.74,17259.87,17223.87,17238.49,2060
2024.02.01,16:00,17237.99,17253.12,17203.24,17210.62,1834
2024.02.01,16:30,17210.49,17240.63,17191,17207.38,16861
2024.02.01,17:00,17188.75,17274.25,17175.63,17271.5,12698
2024.02.01,17:30,17271.13,17273.61,17179.25,17180.37,10006
2024.02.01,18:00,17179.87,17205.72,17170.34,17187.31,8771
